,Date,Prediction,Actual,Signal,Current
96,2019-03-11,2628.9050365668945,2743.070068,0,1000
97,2019-03-12,2669.1350175668945,2783.300049,0,1000
98,2019-03-13,2674.986916057129,2791.52002,0,1000
99,2019-03-14,2702.2560502348633,2810.919922,0,1000
100,2019-03-15,2710.810859211426,2808.47998,0,1000
101,2019-03-18,2726.0125727734376,2822.47998,0,1000
102,2019-03-19,2743.476333211914,2832.939941,0,1000
103,2019-03-20,2744.688544867676,2832.570068,0,1000
104,2019-03-21,2735.1704554638673,2824.22998,0,1000
105,2019-03-22,2764.844124027832,2854.879883,0,1000
106,2019-03-25,2712.7264710097656,2800.709961,0,1000
107,2019-03-26,2710.6094661308593,2798.360107,0,1000
108,2019-03-27,2730.79044348291,2818.459961,0,1000
109,2019-03-28,2712.8589628251952,2805.370117,0,1000
110,2019-03-29,2725.273421834961,2815.439941,0,1000
111,2019-04-01,2740.7649303813478,2834.399902,0,1000
112,2019-04-02,2765.16325337793,2867.189941,0,1000
113,2019-04-03,2763.0671765844727,2867.23999,0,1000
114,2019-04-04,2765.623145713379,2873.399902,0,1000
115,2019-04-05,2773.2479252265625,2879.389893,0,1000
116,2019-04-08,2785.189712290039,2892.73999,0,1000
117,2019-04-09,2785.123306743164,2895.77002,0,1000
118,2019-04-10,2765.691810436035,2878.199951,0,1000
119,2019-04-11,2771.112030091797,2888.209961,0,1000
120,2019-04-12,2770.0211483222656,2888.320068,0,1000
121,2019-04-15,2787.3957289555665,2907.409912,0,1000
122,2019-04-16,2786.0048063935546,2905.580078,0,1000
123,2019-04-17,2778.277328897461,2907.060059,0,1000
124,2019-04-18,2767.974349803711,2900.449951,0,1000
125,2019-04-22,2775.8617245566406,2905.030029,0,1000
126,2019-04-23,2777.791244803711,2907.969971,0,1000
127,2019-04-24,2810.67057073291,2933.679932,0,1000
128,2019-04-25,2801.082260131836,2927.25,0,1000
129,2019-04-26,2798.1292725859375,2926.169922,0,1000
130,2019-04-29,2812.2568437543946,2939.879883,0,1000
131,2019-04-30,2812.9534451376953,2943.030029,0,1000
132,2019-05-01,2820.698570126465,2945.830078,0,1000
133,2019-05-02,2802.940444477539,2923.72998,0,1000
134,2019-05-03,2797.5049061694335,2917.52002,0,1000
135,2019-05-06,2830.5006565498047,2945.639893,0,1000
136,2019-05-07,2815.067093192383,2932.469971,0,1000
137,2019-05-08,2762.6302644541015,2884.050049,0,1000
138,2019-05-09,2753.8370896635743,2879.419922,0,1000
139,2019-05-10,2748.1481707680664,2870.719971,0,1000
140,2019-05-13,2762.374709739258,2881.399902,0,1000
141,2019-05-14,2695.304359248535,2811.870117,0,1000
142,2019-05-15,2717.9265135625,2834.409912,0,1000
143,2019-05-16,2735.3339157729492,2850.959961,0,1000
144,2019-05-17,2762.148505805176,2876.320068,0,1000
145,2019-05-20,2747.7017361533203,2859.530029,0,1000
146,2019-05-21,2727.374640949707,2840.22998,0,1000
147,2019-05-22,2757.147033269531,2864.360107,0,1000
148,2019-05-23,2750.8024983325195,2856.27002,0,1000
149,2019-05-24,2720.5090711157227,2822.23999,0,1000
150,2019-05-28,2726.895294595703,2826.060059,0,1000
151,2019-05-29,2703.815025751465,2802.389893,0,1000
152,2019-05-30,2683.0529408374023,2783.02002,0,1000
153,2019-05-31,2684.479407842285,2788.860107,0,1000
154,2019-06-03,2652.3991245517577,2752.060059,0,1000
155,2019-06-04,2640.314407176758,2744.449951,0,1000
156,2019-06-05,2693.9530796923827,2803.27002,0,1000
157,2019-06-06,2711.21989406543,2826.149902,0,1000
158,2019-06-07,2724.9683148901368,2843.48999,0,1000
159,2019-06-10,2751.7298890253905,2873.340088,0,1000
160,2019-06-11,2765.759978779297,2886.72998,0,1000
161,2019-06-12,2766.927688895508,2885.719971,0,1000
162,2019-06-13,2760.5772858759765,2879.840088,0,1000
163,2019-06-14,2780.917984430664,2891.639893,0,1000
164,2019-06-17,2782.1766505322266,2886.97998,0,1000
165,2019-06-18,2777.726875430176,2889.669922,0,1000
166,2019-06-19,2795.860855102539,2917.75,0,1000
167,2019-06-20,2810.109718385254,2926.459961,0,1000
168,2019-06-21,2840.4767993706055,2954.179932,0,1000
169,2019-06-24,2836.771026673828,2950.459961,0,1000
170,2019-06-25,2836.80989109082,2945.350098,0,1000
171,2019-06-26,2815.747230717285,2917.379883,0,1000
172,2019-06-27,2807.69303101416,2913.780029,0,1000
173,2019-06-28,2814.4756470976563,2924.919922,0,1000
174,2019-07-01,2824.1959230859375,2941.76001,0,1000
175,2019-07-02,2846.845275753906,2964.330078,0,1000
176,2019-07-03,2852.5714571435547,2973.01001,0,1000
177,2019-07-05,2883.485480902832,2995.820068,0,1000
178,2019-07-08,2879.82942951709,2990.409912,0,1000
179,2019-07-09,2860.1350324819336,2975.949951,0,1000
180,2019-07-10,2855.3823854414063,2979.629883,0,1000
181,2019-07-11,2866.894660590332,2993.070068,0,1000
182,2019-07-12,2871.180435071289,2999.909912,0,1000
183,2019-07-15,2886.812355510254,3013.77002,0,1000
184,2019-07-16,2891.406196766113,3014.300049,0,1000
185,2019-07-17,2884.3305053085937,3004.040039,0,1000
186,2019-07-18,2870.158706790039,2984.419922,0,1000
187,2019-07-19,2889.1658092094726,2995.110107,0,1000
188,2019-07-22,2868.5448604179687,2976.610107,0,1000
189,2019-07-23,2878.511848152832,2985.030029,0,1000
190,2019-07-24,2892.4951251137695,3005.469971,0,1000
191,2019-07-25,2910.4170841464843,3019.560059,0,1000
192,2019-07-26,2896.936912661621,3003.669922,0,1000
193,2019-07-29,2911.9658961845703,3025.860107,0,1000
194,2019-07-30,2906.347427665039,3020.969971,0,1000
195,2019-07-31,2896.969223381836,3013.179932,0,1000
196,2019-08-01,2859.8267671552735,2980.379883,0,1000
197,2019-08-02,2825.213119913086,2953.560059,0,1000
198,2019-08-05,2798.4254609873046,2932.050049,0,1000
199,2019-08-06,2715.7476193945313,2844.73999,0,1000
200,2019-08-07,2749.948975078125,2881.77002,0,1000
201,2019-08-08,2751.338592060547,2883.97998,0,1000
202,2019-08-09,2811.8096085688476,2938.090088,0,1000
203,2019-08-12,2794.8227459331056,2918.649902,0,1000
204,2019-08-13,2761.6918409536133,2882.699951,0,1000
205,2019-08-14,2806.5271908027344,2926.320068,0,1000
206,2019-08-15,2721.936752663086,2840.600098,0,1000
207,2019-08-16,2728.2711337666015,2847.600098,0,1000
208,2019-08-19,2770.505928398926,2888.679932,0,1000
209,2019-08-20,2803.4775463481446,2923.649902,0,1000
210,2019-08-21,2787.267639394531,2900.51001,0,1000
211,2019-08-22,2807.4201282280274,2924.429932,0,1000
212,2019-08-23,2805.8786390493165,2922.949951,0,1000
213,2019-08-26,2726.366469915039,2847.110107,0,1000
214,2019-08-27,2757.952820011719,2878.379883,0,1000
215,2019-08-28,2746.606742749512,2869.159912,0,1000
